State,Amount of Grants,Percent,Number of Grants,Lat,Lon
NY,107422034,0.117,3646,42.165726,-74.948051
IL,94619483,0.103,1373,40.349457,-88.986137
CA,80223654,0.088,2889,36.116203,-119.681564
MA,68049361,0.074,1162,42.230171,-71.530106
VA,60946372,0.067,916,37.769337,-78.169968
DC,50899521,0.056,777,38.897438,-77.026817
TX,49334206,0.054,1185,31.054487,-97.563461
OH,30806456,0.034,731,40.388783,-82.764915
CO,29163211,0.032,1079,39.059811,-105.311104
WA,27382225,0.030,1028,47.400902,-121.490494
PA,25912199,0.028,958,40.590752,-77.209755
MN,25736770,0.028,1551,45.694454,-93.900192
FL,22149395,0.024,551,27.766279,-81.686783
OR,19418925,0.021,570,44.572021,-122.070938
IN,14961122,0.016,374,39.849426,-86.258278
GA,14185092,0.016,230,33.040619,-83.643074
KY,13409188,0.015,141,37.66814,-84.670067
NH,12012964,0.013,358,43.452492,-71.563896
ME,11894750,0.013,239,44.693947,-69.381927
CT,11597408,0.013,324,41.597782,-72.755371
MO,10886552,0.012,482,38.456085,-92.288368
WY,10094188,0.011,51,42.755966,-107.30249
MI,9590904,0.011,279,43.326618,-84.536095
NC,8919639,0.010,433,35.630066,-79.806419
MD,8645061,0.009,245,39.063946,-76.802101
NJ,8142604,0.009,237,40.298904,-74.521011
AL,7953501,0.009,79,32.806671,-86.79113
IA,7718804,0.008,219,42.011539,-93.210526
LA,7520717,0.008,260,31.169546,-91.867805
ID,7463496,0.008,105,44.240459,-114.478828
HI,7251412,0.008,273,21.094318,-157.498337
UT,6584314,0.007,61,40.150032,-111.862434
TN,6488738,0.007,574,35.747845,-86.692345
WI,6245458,0.007,477,44.268543,-89.616508
AK,5591606,0.006,94,61.370716,-152.404419
VT,3868749,0.004,381,44.045876,-72.710686
NE,3866560,0.004,235,41.12537,-98.268082
OK,3854528,0.004,86,35.565342,-96.928917
SC,3618555,0.004,113,33.856892,-80.945007
NV,3284345,0.004,152,38.313515,-117.055374
RI,1617320,0.002,121,41.680893,-71.51178
ND,1236800,0.001,26,47.528912,-99.784012
NM,900004,0.001,40,34.840515,-106.248482
DE,780700,0.001,41,39.318523,-75.507141
AR,732055,0.001,35,34.969704,-92.373123
AZ,553975,0.001,31,33.729759,-111.431221
MT,437663,0.001,37,46.921925,-110.454353
MS,344000,0.000,13,32.741646,-89.678696
KS,334878,0.000,59,38.5266,-96.726486
SD,224186,0.000,23,44.299782,-99.438828
WV,58125,0.000,14,38.491226,-80.954453
